,Title,Year of Release,Duration in min,Genre,Rating,Votes in Views,Gross in Millions,Action,Horror,Drama,Crime,Comedy,Thriller,Sci-Fi,Mystery,Adventure,Biography,war
145,Dumb and Dumber,1994,107,Comedy            ,7.3,89237,37.74,0,0,0,0,1,0,0,0,0,0,0
146,The Jungle Book,1967,78,"Animation, Adventure, Comedy            ",7.6,146982,80.25,0,0,0,0,1,0,0,0,1,0,0
147,The Bourne Ultimatum,2007,115,"Action, Mystery, Thriller            ",8.0,111617,86.93,1,0,0,0,0,1,0,1,0,0,0
148,Shallow Grave,1994,89,"Crime, Thriller            ",7.3,413872,56.82,0,0,0,1,0,1,0,0,0,0,0
149,From Dusk Till Dawn,1996,108,"Action, Crime, Horror            ",7.2,237169,77.32,1,1,0,1,0,0,0,0,0,0,0
150,Gone with the Wind,1939,238,"Drama, History, Romance            ",8.2,166843,82.16,0,0,1,0,0,0,0,0,0,0,0
151,American Pie,1999,95,Comedy            ,7.1,11174,16.64,0,0,0,0,1,0,0,0,0,0,0
152,Slumdog Millionaire,2008,120,"Drama, Romance            ",8.0,96160,49.44,0,0,1,0,0,0,0,0,0,0,0
153,On the Waterfront,1954,108,"Crime, Drama, Thriller            ",8.1,4992,2.33,0,0,1,1,0,1,0,0,0,0,0
154,Snatch,2000,104,"Comedy, Crime            ",8.3,98149,34.6,0,0,0,1,1,0,0,0,0,0,0
155,The Naked Gun: From the Files of Police Squad!,1988,85,"Comedy, Crime            ",7.6,86641,4.17,0,0,0,1,1,0,0,0,0,0,0
156,National Lampoon's Animal House,1978,109,Comedy            ,7.4,247069,53.33,0,0,0,0,1,0,0,0,0,0,0
157,Three Kings,1999,114,"Action, Adventure, Comedy            ",7.1,51401,50.61,1,0,0,0,1,0,0,0,1,0,0
158,In Bruges,2008,107,"Comedy, Crime, Drama            ",7.9,1016751,422.78,0,0,1,1,1,0,0,0,0,0,0
159,Toy Story 3,2010,103,"Animation, Adventure, Comedy            ",8.3,42693,2.91,0,0,0,0,1,0,0,0,1,0,0
160,Cloverfield,2008,85,"Action, Horror, Sci-Fi            ",7.0,337259,0.27,1,1,0,0,0,0,1,0,0,0,0
161,Dawn of the Dead,1978,127,"Horror, Thriller            ",7.9,51453,8.41,0,1,0,0,0,1,0,0,0,0,0
162,Quiz Show,1994,133,"Biography, Drama, History            ",7.5,245779,8.7,0,0,1,0,0,0,0,0,0,1,0
163,Dalkomhan insaeng,2005,119,"Action, Crime, Drama            ",7.5,157097,35.1,1,0,1,1,0,0,0,0,0,0,0
164,The Sixth Sense,1999,107,"Drama, Mystery, Thriller            ",8.2,599110,218.82,0,0,1,0,0,1,0,1,0,0,0
165,The Long Good Friday,1980,114,"Crime, Drama, Mystery            ",7.6,425109,109.45,0,0,1,1,0,0,0,1,0,0,0
166,Juno,2007,96,"Comedy, Drama            ",7.5,168326,102.27,0,0,1,0,1,0,0,0,0,0,0
167,Planet of the Apes,1968,112,"Adventure, Sci-Fi            ",8.0,224016,163.21,0,0,0,0,0,0,1,0,1,0,0
168,Kiss Kiss Bang Bang,2005,103,"Comedy, Crime, Mystery            ",7.5,664430,100.55,0,0,0,1,1,0,0,1,0,0,0
169,Sideways,2004,127,"Comedy, Drama, Romance            ",7.5,271472,47.7,0,0,1,0,1,0,0,0,0,0,0
170,Edward Scissorhands,1990,105,"Drama, Fantasy, Romance            ",7.9,532723,92.05,0,0,1,0,0,0,0,0,0,0,0
171,The Thin Red Line,1998,170,"Drama, History, War            ",7.6,506167,107.83,0,0,1,0,0,0,0,0,0,0,1
172,Hotel Rwanda,2004,121,"Biography, Drama, History            ",8.1,688116,315.06,0,0,1,0,0,0,0,0,0,1,0
173,Sexy Beast,2000,89,"Crime, Drama, Thriller            ",7.3,52362,16.79,0,0,1,1,0,1,0,0,0,0,0
174,Swingers,1996,96,"Comedy, Drama            ",7.2,643007,389.81,0,0,1,0,1,0,0,0,0,0,0
175,Män som hatar kvinnor,2009,152,"Crime, Drama, Mystery            ",7.8,147644,81.9,0,0,1,1,0,0,0,1,0,0,0
176,Nuovo Cinema Paradiso,1988,155,"Drama, Romance            ",8.5,267030,75.75,0,0,1,0,0,0,0,0,0,0,0
177,Witness for the Prosecution,1957,116,"Crime, Drama, Mystery            ",8.4,36104,0.02,0,0,1,1,0,0,0,1,0,0,0
178,The Apartment,1960,125,"Comedy, Drama, Romance            ",8.3,120647,14.43,0,0,1,0,1,0,0,0,0,0,0
179,The Right Stuff,1983,193,"Adventure, Biography, Drama            ",7.8,163505,28.78,0,0,1,0,0,0,0,0,1,1,0
180,Catch Me If You Can,2002,141,"Biography, Crime, Drama            ",8.1,46142,1.8,0,0,1,1,0,0,0,0,0,1,0
181,Saturday Night Fever,1977,118,"Drama, Music            ",6.8,370472,215.29,0,0,1,0,0,0,0,0,0,0,0
182,Anchorman: The Legend of Ron Burgundy,2004,94,Comedy            ,7.1,212881,82.35,0,0,0,0,1,0,0,0,0,0,0
183,Happiness,1998,134,"Comedy, Drama            ",7.7,185112,40.9,0,0,1,0,1,0,0,0,0,0,0
184,Knocked Up,2007,129,"Comedy, Romance            ",7.0,328196,55.69,0,0,0,0,1,0,0,0,0,0,0
185,District 9,2009,112,"Action, Sci-Fi, Thriller            ",7.9,137754,32.22,1,0,0,0,0,1,1,0,0,0,0
186,Fahrenheit 9/11,2004,122,"Documentary, Drama, War            ",7.5,547316,324.59,0,0,1,0,0,0,0,0,0,0,1
187,Star Trek,2009,127,"Action, Adventure, Sci-Fi            ",8.0,231110,14.67,1,0,0,0,0,0,1,0,1,0,0
